"delivery_id","order_id","driver_id","hub_id","delivery_status","route_distance_km","manual_route_override_count","customer_rating_post_delivery","fuel_or_charge_cost","service_type","order_value","pickup_zone","dropoff_zone","priority_level","booking_channel","promised_window_hours"
"DL00001","O00938","D004","H05","Failed",17.26,1,3.07,12.05,"Business",151.14,"Central","CENTRAL","Medium","Web",6
"DL00002","O00004","D138","H02","OnTime",10.34,1,5,13.41,"Parcel",10.04,"RiverSide","North","Medium","App",2
"DL00003","O00639","D006","H02","OnTime",7.92,0,4.98,8.51,"Medical",141.93,"CENTRAL","NORTH","Medium","Web",2
"DL00004","O00313","D116","H02","Delayed",16.42,0,4.18,13.62,"Medical",11.11,"SOUTH","north","Low","App",24
"DL00005","O00844","D108","H01","OnTime",14.52,1,4.18,9.22,"Medical",76.02,"RiverSide","RiverSide","High","App",6
"DL00006","O00029","D037","H03","Delayed",13.84,0,1.57,9.58,"Medical",190.94,"EAST","Ctr","Medium","Web",24
"DL00007","O00097","D151","H07","Delayed",32.72,0,4.64,17.7,"Parcel",72.64,"Airport","Airport","Medium","App",24
"DL00008","O00207","D082","H03","OnTime",7.16,1,3.76,11.66,"Business",80.33,"Ctr","RiverSide","Medium","App",6
"DL00009","O00297","D088","H05","OnTime",40.23,1,3.7,15.78,"Passenger",151.53,"Airport","RiverSide","Low","Web",6
"DL00010","O00836","D058","H08","Failed",9.85,1,3.2,9.31,"Passenger",45.9,"SOUTH","north","Low","App",6
"DL00011","O00202","D074","H04","OnTime",13.85,0,4.36,15.17,"Passenger",20.68,"South","West","Low","Web",1
"DL00012","O01207","D051","H05","Failed",16.96,3,NA,16.98,"Business",321.68,"CENTRAL","RiverSide","Medium","App",6
"DL00013","O01031","D105","H04","OnTime",6.01,2,3.96,11.52,"Business",80.04,"East","Central","Medium","Web",6
"DL00014","O00725","D102","H05","OnTime",16.46,0,3.67,11.74,"Passenger",61.87,"EAST","WEST","Medium","App",12
"DL00015","O00394","D067","H04","OnTime",26.58,3,4.47,21.64,"Retail",71.08,"AIRPORT","WEST","Medium","App",12
"DL00016","O01220","D010","H08","OnTime",18.25,1,5,12.61,"Passenger",76.75,"West","Airport","High","Phone",6
"DL00017","O01249","D002","H05","Delayed",20.79,0,1,15.62,"Medical",188.73,"CENTRAL","RiverSide","High","Web",1
"DL00018","O00611","D011","H01","OnTime",13.67,0,4.46,16.18,"Retail",132.01,"WEST","WEST","Low","App",2
"DL00019","O01167","D026","H06","OnTime",16.35,4,4.97,13.97,"Parcel",103.78,"Central","East","Low","App",6
"DL00020","O00054","D157","H01","OnTime",24.31,0,4.15,12.61,"Medical",54.41,"NORTH","north","Low","Web",4
"DL00021","O00250","D117","H08","OnTime",9.77,4,4.07,6.43,"Passenger",9.42,"Central","NORTH","Medium","App",24
"DL00022","O01027","D088","H07","Failed",15.81,0,3.5,15.62,"Parcel",97.55,"EAST","Central","Medium","App",4
"DL00023","O00768","D046","H08","OnTime",4.29,1,5,2.5,"Retail",69.17,"Central","WEST","Medium","App",4
"DL00024","O01054","D045","H02","OnTime",8.58,0,4.78,14.62,"Retail",260.15,"South","Airport","Medium","Web",4
"DL00025","O00288","D130","H04","OnTime",7.41,0,5,7.2,"Medical",56.47,"SOUTH","CENTRAL","Low","App",4
"DL00026","O00906","D092","H04","Failed",14.27,2,2.23,10.04,"Passenger",133.71,"WEST","RiverSide","High","App",24
"DL00027","O00827","D057","H02","OnTime",13.27,0,4.15,9.05,"Medical",19.26,"East","South","Medium","Web",24
"DL00028","O00087","D165","H08","Delayed",15.53,2,2.7,13.05,"Business",56.73,"SOUTH","north","Critical","Phone",4
"DL00029","O00723","D126","H07","OnTime",9.43,1,3.72,8.72,"Passenger",94.32,"NORTH","CENTRAL","Low","App",1
"DL00030","O00780","D034","H03","OnTime",7.71,1,4.1,16.42,"Parcel",80.48,"West","North","Medium","Web",1
"DL00031","O00830","D037","H01","OnTime",12.06,0,4.1,14.98,"Passenger",71.2,"South","SOUTH","High","Phone",2
"DL00032","O00010","D045","H08","OnTime",15.58,1,4.23,13.75,"Retail",34.55,"South","north","Low","Phone",6
"DL00033","O00885","D041","H06","Failed",11.72,0,4.13,18.12,"Medical",125.38,"RiverSide","Central","Critical","App",24
"DL00034","O01081","D157","H04","Delayed",14.68,0,4.4,9.44,"Medical",10.07,"West","Airport","Critical","App",2
"DL00035","O00275","D015","H07","OnTime",22.05,0,4.96,14.78,"Business",142.68,"SOUTH","EAST","Medium","App",6
"DL00036","O00652","D158","H06","OnTime",15.77,1,4.35,13.68,"Retail",35.54,"SOUTH","West","Medium","App",4
"DL00037","O00185","D010","H05","OnTime",23.49,1,4.21,11.21,"Retail",62.26,"EAST","Central","Low","Web",24
"DL00038","O00727","D096","H02","Failed",8.82,2,3.43,13.21,"Business",85,"South","South","Medium","App",2
"DL00039","O00542","D090","H08","Failed",17.13,1,2.51,16.3,"Passenger",76.58,"Central","EAST","Low","App",4
"DL00040","O00919","D027","H04","Failed",9.53,1,1.68,11.11,"Retail",229.93,"RiverSide","north","Low","App",4
"DL00041","O00750","D100","H08","Failed",15.88,3,2.94,13.19,"Retail",62.8,"NORTH","South","Low","Phone",6
"DL00042","O00009","D146","H01","OnTime",12.02,0,4.45,11.41,"Retail",78.93,"NORTH","East","Critical","App",12
"DL00043","O00453","D110","H07","OnTime",11.94,0,4.24,11.81,"Retail",27.48,"SOUTH","West","Medium","Phone",6
"DL00044","O00147","D049","H01","OnTime",4.63,0,4.34,12.87,"Retail",32.27,"North","WEST","Critical","App",6
"DL00045","O00924","D157","H08","OnTime",10.61,1,5,14.13,"Retail",44.93,"WEST","Ctr","Low","API",24
"DL00046","O00101","D088","H05","OnTime",5.53,2,3.09,11.27,"Parcel",42.02,"WEST","WEST","Low","App",24
"DL00047","O00263","D045","H06","OnTime",16.33,0,5,10.25,"Parcel",63.35,"West","Central","Low","App",2
"DL00048","O00358","D045","H05","Delayed",7.37,0,3.33,14.67,"Passenger",94.51,"Riverside","CENTRAL","Low","App",4
"DL00049","O01076","D091","H02","OnTime",12.55,0,3.52,6.93,"Business",46.37,"SOUTH","AIRPORT","Critical","App",6
"DL00050","O00534","D065","H06","OnTime",26.85,0,5,14.34,"Parcel",188.05,"Airport","Ctr","Critical","App",2
"DL00051","O00785","D150","H07","OnTime",8.02,0,4.31,14.59,"Passenger",98.07,"East","CENTRAL","High","Phone",4
"DL00052","O00554","D168","H08","Delayed",26.38,1,2.52,24.54,"Medical",129.89,"AIRPORT","RiverSide","High","App",2
"DL00053","O00302","D018","H01","OnTime",14.14,0,3.63,10.32,"Retail",228.25,"RiverSide","CENTRAL","High","Web",24
"DL00054","O01044","D117","H01","Delayed",29.8,1,4.7,22.28,"Retail",70.39,"AIRPORT","Riverside","Low","App",12
"DL00055","O00819","D069","H04","Delayed",35.07,5,2.78,22.2,"Retail",93.02,"Airport","WEST","Low","App",4
"DL00056","O00698","D137","H08","OnTime",13.46,2,4.01,6.52,"Medical",179.24,"SOUTH","CENTRAL","High","App",2
"DL00057","O00921","D141","H04","Failed",10.91,0,1.22,6.59,"Retail",198.22,"East","Central","Medium","App",4
"DL00058","O01062","D125","H02","OnTime",15.33,0,5,7.95,"Medical",128.73,"East","Central","Medium","App",4
"DL00059","O00521","D027","H05","Delayed",36.28,3,3.11,17.45,"Parcel",76.48,"AIRPORT","SOUTH","High","Web",1
"DL00060","O00236","D005","H02","Delayed",13.92,1,2.35,9.48,"Business",118.24,"EAST","South","Medium","App",2
"DL00061","O00635","D083","H08","OnTime",10.51,1,3.8,10.6,"Parcel",73.66,"Central","north","Low","App",2
"DL00062","O00567","D061","H02","OnTime",1.2,0,5,7.32,"Retail",33.6,"SOUTH","Riverside","Low","Phone",24
"DL00063","O00931","D154","H03","OnTime",15.95,0,5,14.6,"Parcel",70.8,"north","NORTH","High","App",4
"DL00064","O01236","D075","H03","Delayed",10.36,0,2.34,7.13,"Business",156.71,"South","AIRPORT","Low","App",12
"DL00065","O01234","D050","H01","OnTime",1.67,1,4.63,6.2,"Parcel",119.86,"WEST","North","Medium","Phone",2
"DL00066","O00568","D118","H01","OnTime",22.39,0,4.03,18.25,"Passenger",119.95,"Central","Riverside","Medium","Phone",6
"DL00067","O00842","D152","H01","OnTime",12.34,1,4.61,11.04,"Retail",153.82,"Central","East","Low","Web",12
"DL00068","O00828","D104","H08","Failed",19.75,1,3.73,16.14,"Passenger",61.71,"West","WEST","Low","App",24
"DL00069","O01039","D010","H07","Failed",16.76,1,4.17,10.73,"Passenger",84.17,"West","Riverside","Low","App",6
"DL00070","O00370","D018","H07","OnTime",16.35,0,4.64,18.11,"Parcel",74.04,"SOUTH","SOUTH","High","Phone",4
"DL00071","O00796","D093","H02","Delayed",20.37,1,3.57,18.14,"Business",209.05,"Ctr","north","High","API",6
"DL00072","O00402","D110","H05","Delayed",28.51,0,3.28,15.11,"Retail",121.87,"WEST","EAST","Medium","App",4
"DL00073","O00421","D141","H08","OnTime",19.34,3,4.68,17.54,"Parcel",37.25,"RiverSide","East","Medium","App",24
"DL00074","O01195","D030","H04","Failed",17.61,1,4.42,14.79,"Retail",94.26,"AIRPORT","CENTRAL","Medium","Phone",2
"DL00075","O01239","D169","H02","OnTime",13.25,3,3.24,11.94,"Retail",57.51,"SOUTH","West","Medium","Web",2
"DL00076","O00815","D120","H01","OnTime",27.51,3,5,15.16,"Parcel",216.89,"Airport","Airport","High","App",24
"DL00077","O01040","D094","H04","Delayed",32.97,3,2.81,18.07,"Passenger",59.93,"AIRPORT","CENTRAL","Medium","Web",4
"DL00078","O00173","D144","H02","Failed",10.92,1,2.87,9.05,"Passenger",249.32,"Ctr","Central","Critical","App",2
"DL00079","O00920","D009","H08","OnTime",7.18,0,4.91,12.79,"Passenger",74.71,"RiverSide","EAST","Low","App",12
"DL00080","O01137","D030","H04","OnTime",16.29,0,4.42,14.17,"Passenger",101.93,"SOUTH","Central","Medium","App",2
"DL00081","O00716","D166","H04","Delayed",9.77,1,3.58,12.68,"Passenger",5.92,"EAST","north","Medium","App",6
"DL00082","O00669","D008","H03","OnTime",3.98,1,4.76,5.86,"Parcel",80.79,"north","East","Critical","App",12
"DL00083","O00451","D053","H05","Delayed",2.13,0,1.44,11.27,"Retail",97.23,"East","RiverSide","Critical","Phone",12
"DL00084","O00784","D063","H05","Failed",6.83,0,3.63,9.07,"Passenger",21.26,"East","South","Low","Phone",12
"DL00085","O00160","D127","H06","OnTime",9.49,5,3.85,16.32,"Parcel",68.1,"Central","EAST","High","Web",6
"DL00086","O01013","D159","H02","OnTime",17.4,0,3.75,12.23,"Passenger",76.79,"Ctr","north","Low","Web",4
"DL00087","O00630","D034","H07","OnTime",17.98,0,4.11,13.23,"Retail",86.61,"Central","Ctr","Low","App",2
"DL00088","O00657","D088","H04","OnTime",5.99,0,4.43,2.5,"Passenger",155.89,"SOUTH","CENTRAL","Low","App",6
"DL00089","O00241","D010","H03","Failed",8.27,0,2.56,6.94,"Parcel",99.3,"West","north","Low","App",2
"DL00090","O01097","D027","H04","OnTime",33.86,3,4.76,24.2,"Retail",59.58,"Airport","north","Low","App",12
"DL00091","O00941","D116","H04","OnTime",14.47,0,5,10.57,"Passenger",110.52,"West","West","High","Web",1
"DL00092","O00736","D105","H01","OnTime",7.66,1,4.72,8.17,"Parcel",78.13,"Central","East","Medium","App",12
"DL00093","O00579","D028","H05","OnTime",19.68,3,3.69,18.64,"Medical",24.91,"Airport","South","Low","Phone",4
